Id,Id_marca,Nombre,Descripcion,Target,Orden
1,1,Ganador®,Alimento para perros óptimamente balanceado con ingredientes de calidad que te ofrece la mejor alternativa en nutrición y sabor.,MVZ|PROD|DIST,1
2,2,Minino®,"La fórmula de Minino® contiene la combinación exacta de ingredientes que tu minino requiere en todas las etapas de su vida. Elaborada con pollo y pescado para darle un sabor irresistible. No es comida para gatos, es alimento para mininos.",MVZ|PROD|DIST,2
3,3,Apicarne®,Diseñada para cubrir los requerimientos nutricionales del ganado de carne en sus ciclos de engorda para lograr excelentes ganancias de peso.,MVZ|PROD|DIST,1
4,4,Youpig!®,Línea de preiniciadores de alto desempeño para lechones.,MVZ|PROD|DIST,1
5,5,STARLAP®,Línea de alimentos con tecnología francesa para Cunicultura Industrial Mexicana,MVZ|PROD|DIST,1
7,7,Super Baby®,Línea de alimentos que mejora la rentabilidad de tu negocio.,MVZ|PROD|DIST,1
8,8,Pavo Max®,Programa de alimentación desarrollado para mejorar la rentabilidad y el desempeño de la producción.,MVZ|PROD|DIST,1
9,9,Codorniz,Línea de alimentos para la engorda y postura de Codorniz que mejora la rentabilidad de tu negocio.,MVZ|PROD|DIST,1
10,10,Api Camarón®,Alimento para camarón.,MVZ|PROD|DIST,1
11,11,Grow fish® Trucha,"Programa de Alimentación para Truchas , el cual cubre las expectativas de conversión alimenticia , días y peso de salida a mercado y costos de producción por concepto de alimentación.",MVZ|PROD|DIST,1
12,12,Grow fish® Tilapia,"Plan de Alimentación que garantiza las expectativas en los índices de conversión, la reducción de los días a peso de mercado y la disminución de costos de producción.",MVZ|PROD|DIST,1
13,13,Grow fish® Bagre,"Plan de alimentación altamente especializado para el cultivo y producción comercial del bagre, teniendo como objetivo mejorar la rentabilidad de la empresa acuícola.",MVZ|PROD|DIST,1
14,14,Royal Horse®,Primera marca de nutrición equina Super Premium,MVZ|PROD|DIST,1
15,15,Premium®,"Especial para ese amigo compañero de cabalgatas, charrerías y competencias de carril.",MVZ|PROD|DIST,1
18,17,Growpig!®,"Línea de alimentos de alto desempeño para cerdos durante el ciclo de engorda, gestación y lactancia.",MVZ|PROD|DIST,1
20,19,Super Apilac®,Línea de alimentos que mejora la rentabilidad de tu negocio.,MVZ|PROD|DIST,1
21,20,Pork®,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,1
23,1,Ganador® Dúo, Único alimento para perros en México con dos deliciosos sabores empacados individualmente,MVZ|PROD|DIST,2
24,1,Ganador® Premium,"Alimento de Calidad Profesional® para perros, elaborado con ingredientes especialmente seleccionados que garantizan el equilibrio perfecto para su nutrición y bienestar",MVZ|PROD|DIST,3
25,22,The Top Choice®,Alimento para perros que ofrece una adecuada nutrición para cachorros y adultos en un mismo producto de calidad e ingredientes necesarios para una nutrición completa y balanceada durante todas las de cachorros y adultos. Con la sana nutrición que le ofrece The Top Choice® día a día mas feliz,MVZ|PROD|DIST,1
26,23,Best Choice®, Best Choice® maltaCleyton®: Es un alimento completo y balanceado para el mantenimiento de perros adultos de todas las razas.,MVZ|PROD|DIST,1
27,24,Poder Canino®,Alimento nutritivo y balanceado para perros de todas las edades al mejor precio.,MVZ|PROD|DIST,1
28,2,Minino Dúo®,"Delicioso y nutritivo, único alimento para mininos en México con dos sabores empacados individualmente: carne en su jugo y pescado a las finas hierbas. Variedad superior para mininos superiores.",MVZ|PROD|DIST,3
30,2,Minino Plus®,Alimento de calidad profesional que otorga nutrición completa y balanceada a tu minino cuya fórmula está basada en los estándares del exclusivo sistema de beneficios Vital 5® enfocado al cuidado de sus cinco órganos vitales. Nutrición superior para mininos superiores®.,MVZ|PROD|DIST,1
32,43,Pet´s Joy®,"Elaborados con ingredientes de la más alta calidad, ofreciendo un sistema de beneficios que garantizan la salud y bienestar de tu mascota  recomendado para todas las razas y edades.",MVZ|PROD|DIST,1
33,51,Gallo de Oro®,La nutrición exacta que tu gallo requiere,MVZ|PROD|DIST,1
37,35,Gana Leche®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,1
38,26,Api-Leche®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,1
40,27,Lechero Malta®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,1
42,28,Ababe®,Alimentos específicamente formulados para desarrollar sus recrías desde el primer día hasta el parto. Garantiza un rápido y seguro destete con excelentes ganancias de pesos y alto crecimiento.,MVZ|PROD|DIST,1
45,30,Genesa®,Alimento para pollo de engorda desde el día 0 al 14 de edad,MVZ|PROD|DIST,1
47,29,Caporina®,Línea de alimentos que mejora la rentabilidad de tu negocio.,MVZ|PROD|DIST,1
49,33,Pollo Especial®,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,1
50,19,Carnerina®,Línea de alimentos que mejora la rentabilidad de tu negocio.,MVZ|PROD|DIST,2
51,18,Cerdipower®,Línea de alimentos que mejora la rentabilidad de tu negocio.,MVZ|PROD|DIST,2
52,0,Borrego Premium,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,1
53,40,Ovinos Ganador®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada raza.",MVZ|PROD|DIST,2
54,50,Caprinos Ganador®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,1
58,42,Api Carne®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,2
59,36,GanaCarne®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,1
60,53,Pavo Ganador® 40Kg,Programa de alimentación para cubirir las necesidades nutricionales del pavo. ,MVZ|PROD|DIST,2
61,49,Balance®,"Especial para ese amigo compañero de cabalgatas, charrerías y competencias de carril.",MVZ|PROD|DIST,1
62,45,Genesa®,Alimento para pollo de engorda desde el día 0 al 14 de edad.,MVZ|PROD|DIST,1
63,30,Golden Egg®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,1
64,47,Pone Oro®,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,1
65,47,Gana Aves Multiusos®,,MVZ|PROD|DIST,2
66,48,Pone Oro®,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,1
69,54,Conejo Ganador 40Kg®,Línea de alimentos que cubre los requerimientos nutricionales de los conejos en producciones semi intensivas y extensivas.,MVZ|PROD|DIST,2
70,42,Beef Rol Malta®,"Descripcion Target Orden  Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de   alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,1
72,55,GanaCarne®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada raza.",MVZ|PROD|DIST,1
73,56,Gana Leche®,"Desarrollada específicamente con el objetivo de mejorar la rentabilidad de tu negocio, garantiza el óptimo desempeño de la producción con programas de alimentación que promueven el máximo aprovechamiento del potencial genético de cada especie.",MVZ|PROD|DIST,1
75,18,Super Apilac®,Línea de alimentos que mejora la rentabilidad de tu negocio. ,MVZ|PROD|DIST,1
76,57,Súper Pork®,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,1
77,58,Super Baby®,Línea de alimentos que mejora la rentabilidad de tu negocio.,MVZ|PROD|DIST,1
78,58,Pollorina®,Línea de alimentos que mejora la rentabilidad de tu negocio.,MVZ|PROD|DIST,2
79,59,Caporina®,Línea de alimentos que mejora la rentabilidad de tu negocio.,MVZ|PROD|DIST,1
80,60,Pollo Oro®,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,MVZ|PROD|DIST,0
81,61,Súper Premium®,"El mejor alimento para aves de combate en la etapa de cuida. Innovación en su fórmula, ingredientes y proceso de elaboración que permiten al gallo mostrar al máximo todas su cualidades y potencial genético.",MVZ|PROD|DIST,1
