Id,Id_especie,Nombre,Descripcion,Imagen,Background,Target,Orden
1,17,Ganador®,Nuestros expertos de Ganador® han desarrollado un portafolio completo que mejoran la salud y calidad de vida de las nuestros mejores amigos. Las productos Ganador® son sinónimo de calidad.,Content/img/perro/ganador-lineas.png,Content/img/bg-perros.jpg,MVZ|PROD|DIST,1
2,18,Minino®,Nutrición completa y balanceada con la combinación de ingredientes requerida en todas las etapas de vida del minino.,Content/img/gato/minino-linea.png,Content/img/bg-gatos.jpg,MVZ|PROD|DIST,1
3,1,Api-Aba Premium®,Diseñada para cubrir los requerimientos nutricionales del ganado de carne en sus ciclos de engorda para lograr excelentes ganancias de peso.,Content/img/rumiantes/apiaba-apicarne-premium-40.png,Content/img/bg-ganado-carne.jpg,MVZ|PROD|DIST,1
4,5,Youpig!®,Línea de preiniciadores de alto desempeño para lechones.,Content/img/cerdo/youpig-baby-25.png,Content/img/bg-cerdos.jpg,MVZ|PROD|DIST,1
5,12,Starlap®,Línea de alimentos con tecnología francesa para Cunicultura Industrial Mexicana,Content/img/conejo/starlap-20.png,Content/img/bg-conejos.jpg,MVZ|PROD|DIST,1
7,6,Api-Aba Premium®,Línea de alimentos que mejora la rentabilidad de tu negocio.,Content/img/pollo/apiaba-pollorina-plus-40.png,Content/img/bg-aves-postura.jpg,MVZ|PROD|DIST,2
8,9,Pavo Max®,Programa de alimentación desarrollado para mejorar la rentabilidad y el desempeño de la producción.,Content/img/pavo/malta-pavo-max-40.png,Content/img/bg-pavos.jpg,MVZ|PROD|DIST,1
9,10,Premium,Línea de alimentos para la engorda y postura de Codorniz que mejora la rentabilidad de tu negocio.,Content/img/pollo/apiaba-caporina-premium-40.png,Content/img/bg-codornices.jpg,MVZ|PROD|DIST,1
10,13,Api Camarón®,"Con programas de nutrición a base de harinas de pescado, calamar, algas y aditivos especiales (C-protect), desde hace 20 años garantizamos una alta calidad en la producción de camarones.",Content/img/acuacultura/api-camaron-raceways-20.png,Content/img/bg-camarones.jpg,MVZ|PROD|DIST,1
11,14,Grow fish® Trucha,"Programa de Alimentación para Truchas , el cual cubre las expectativas de conversión alimenticia , días y peso de salida a mercado y costos de producción por concepto de alimentación",Content/img/acuacultura/growfish-20.png,Content/img/bg-truchas.jpg,MVZ|PROD|DIST,1
12,15,Grow fish® Tilapia,"Plan de Alimentación que garantiza las expectativas en los índices de conversión, la reducción de los días a peso de mercado y la disminución de costos de producción.",Content/img/acuacultura/growfish-20.png,Content/img/bg-tilapias.jpg,MVZ|PROD|DIST,1
13,16,Grow fish® Bagre,"Plan de alimentación altamente especializado para el cultivo y producción comercial del bagre, teniendo como objetivo mejorar la rentabilidad de la empresa acuícola",Content/img/acuacultura/growfish-20.png,Content/img/bg-bagres.jpg,MVZ|PROD|DIST,1
14,11,Royal Horse®,Primera marca de nutrición equina Super Premium,Content/img/caballo/royal-horse-b-150-25.png,Content/img/bg-caballos.jpg,MVZ|PROD|DIST,1
15,11,Pell Rol®,"Líder a nivel nacional en la Nutrición de caballos de deporte y con alta actividad, con granos rolados (avena y maíz) que aportan a los equinos los nutrientes para un óptimo desempeño.",Content/img/caballo/pell-rol-clasico.png,Content/img/bg-caballos.jpg,MVZ|PROD|DIST,2
17,5,Growpig!®,"Línea de alimentos de alto desempeño para cerdos durante el ciclo de engorda, gestación y lactancia.",Content/img/cerdo/malta-growpig-poder-40.png,Content/img/bg-cerdos.jpg,MVZ|PROD|DIST,2
18,5,Malta Premium®,Línea de alimentos que mejora la rentabilidad de tu negocio.,Content/img/cerdo/malta-cerdipower-40.png,Content/img/bg-cerdos.jpg,MVZ|PROD|DIST,6
19,5,Api-Aba Premium®,Línea de alimentos que mejora la rentabilidad de tu negocio.,Content/img/cerdo/api-aba-carnerina-premium-20.png,Content/img/bg-cerdos.jpg,MVZ|PROD|DIST,3
20,5,Api-Aba Balance®,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,Content/img/cerdo/api-aba-pork-20.png,Content/img/bg-cerdos.jpg,MVZ|PROD|DIST,5
22,17,The Top Choice®,Alimento para perros que ofrece una adecuada nutrición para cachorros y adultos en un mismo producto de calidad e ingredientes necesarios para una nutrición completa y balanceada durante todas las de cachorros y adultos. Con la sana nutrición que le ofrece The Top Choice® día a día mas feliz.,Content/img/perro/top-choice.png,Content/img/bg-perros.jpg,MVZ|PROD|DIST,2
23,17,Best Choice®,Alimento completo y balanceado para el mantenimiento de perros adultos de todas las razas.,Content/img/perro/best-choice.png,Content/img/bg-perros.jpg,MVZ|PROD|DIST,3
24,17,Poder Canino®,Alimento nutritivo y balanceado para perros de todas las edades al mejor precio.,Content/img/perro/poder-canino.png,Content/img/bg-perros.jpg,MVZ|PROD|DIST,4
26,2,Api-Aba Premium®,"Productos de alta calidad, diseñados para explotaciones tecnificadas que cuentan con vacas de buena genética. Los productos están balanceados con base en la energía neta de lactancia que permite a la vaca expresar su máximo potencial genético.",Content/img/rumiantes/apiaba-apileche-40.png,Content/img/bg-ganado-lechero.jpg,MVZ|PROD|DIST,2
27,2,Malta Premium®,"Productos de alta calidad, diseñados para explotaciones tecnificadas que cuentan con vacas de buena genética. Los productos están balanceados con base en la energía neta de lactancia que permite a la vaca expresar su máximo potencial genético.",Content/img/rumiantes/malta-lechero-premium.png,Content/img/bg-ganado-lechero.jpg,MVZ|PROD|DIST,5
28,2,Ababe Malta®,Alimentos específicamente formulados para desarrollar sus recrías desde el primer día hasta el parto. Garantiza un rápido y seguro destete con excelentes ganancias de pesos y alto crecimiento.,Content/img/rumiantes/malta-ababe-premium-40.png,Content/img/bg-ganado-lechero.jpg,MVZ|PROD|DIST,7
29,7,Malta Premium®,Línea de alimentos que mejora la rentabilidad de tu negocio.,Content/img/pollo/malta-caporina-premium-40.png,Content/img/bg-pollo-engorda.jpg,MVZ|PROD|DIST,3
30,6,Súper Premium®,Línea de preiniciadores y alimentos de alto desempeño para todo el ciclo ciclo de postura.,Content/img/pollo/genesa-golden-egg.png,Content/img/bg-aves-postura.jpg,MVZ|PROD|DIST,1
33,7,Malta Balance®,Línea de alimentos que cubre los requerimientos nutricionales en producciones de baja escala.,Content/img/pollo/malta-pollo-especial-balance-40.png,Content/img/bg-pollo-engorda.jpg,MVZ|PROD|DIST,4
